Collection Efficiency (%),PCI Mean,PCI CI Lower,PCI CI Upper,ECPI Mean,ECPI CI Lower,ECPI CI Upper,CEI Mean,CEI CI Lower,CEI CI Upper,M Mean,M CI Lower,M CI Upper,R Mean,R CI Lower,R CI Upper,E Mean,E CI Lower,E CI Upper
70,0.2881,0.2465,0.3306,0.0948,0.0917,0.0979,0.4416,0.409,0.475,0.6029,0.58,0.6221,0.6179,0.6175,0.6185,0.6383,0.637,0.6395
90,0.3972,0.3504,0.4452,0.1218,0.1179,0.1256,0.5694,0.5273,0.6165,0.6138,0.5926,0.6335,0.6202,0.6185,0.624,0.6383,0.6371,0.6395
100,0.438,0.3932,0.4828,0.1354,0.1308,0.1397,0.6319,0.5862,0.6845,0.6183,0.5974,0.639,0.6228,0.6192,0.6492,0.6383,0.6369,0.6395
