Recovery Efficiency Change (%),PCI Mean,PCI CI Lower,PCI CI Upper,CI Mean,CI CI Lower,CI CI Upper,CEI Mean,CEI CI Lower,CEI CI Upper,ECPI Mean,ECPI CI Lower,ECPI CI Upper,M Mean,M CI Lower,M CI Upper
5,0.4072,0.3627,0.4524,0.6056,0.5721,0.6398,0.5975,0.5499,0.6482,0.1276,0.1232,0.1321,0.617,0.5942,0.6353
0,0.3978,0.3501,0.4463,0.5819,0.5465,0.6168,0.5692,0.5255,0.6146,0.1219,0.1181,0.1259,0.6134,0.5921,0.6343
-5,0.3858,0.3385,0.4308,0.5525,0.5217,0.5851,0.5404,0.4952,0.5851,0.116,0.1121,0.1195,0.6094,0.5873,0.6293
